query_stock_code,query_canonical,bsns_year,rcept_no,corp_cls,corp_code,corp_name,inv_prm,frst_acqs_de,invstmnt_purps,frst_acqs_amount,bsis_blce_qy,bsis_blce_qota_rt,bsis_blce_acntbk_amount,incrs_dcrs_acqs_dsps_qy,incrs_dcrs_acqs_dsps_amount,incrs_dcrs_evl_lstmn,trmend_blce_qy,trmend_blce_qota_rt,trmend_blce_acntbk_amount,recent_bsns_year_fnnr_sttus_tot_assets,recent_bsns_year_fnnr_sttus_thstrm_ntpf,stlm_dt
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,티더블유바이오매스에너지 주식회사,2023.04.26,경영참여,"3,600,000,000","678,000",60,"67,800,000,000",-,-,-,"678,000",60,"67,800,000,000","231,468,000,000","-1,029,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,LG Chemical India Pvt. Ltd.,1997.01.31,경영참여,"198,000,000","126,746,122",100,"85,718,000,000","220,225,000","34,818,000,000",-,"346,971,122",100,"120,536,000,000","97,784,000,000","-23,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"LG Chem America Advanced Materials, Inc.",2024.02.28,경영참여,"133,130,000,000",0,100,"405,680,000,000",-,"575,940,000,000",-,0,100,"981,620,000,000","1,957,788,000,000","-8,188,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,주식회사 엘지에니바이오리파이닝,2023.12.05,경영참여,"86,751,000,000","347,004",51,"86,751,000,000","272,748","68,187,000,000",-,"619,752",51,"154,938,000,000","397,939,000,000","-603,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,(주)팜한농,2016.04.15,경영참여,"724,500,000,000","102,389,574",100,"579,581,000,000",-,-,-,"102,389,574",100,"579,581,000,000","1,080,374,000,000","42,333,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,LG CHEM COLOMBIA S.A.S,2025.01.24,경영참여,"154,000,000",-,-,-,-,"154,000,000",-,0,100,"154,000,000","431,000,000","-4,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,LG Chem Hungary Battery Separator Kft.,2022.06.15,경영참여,"483,638,000,000",-,50,"437,228,000,000",-,"-284,857,000,000","-94,543,000,000",0,100,"57,828,000,000","693,050,000,000","-60,749,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,(주) 테크윈,1999.12.27,단순투자,"430,000,000","125,765",20,"2,861,000,000",-,-,-,"125,765",20,"2,861,000,000","158,665,000,000","1,165,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,LG Chem Life Sciences Poland Ltd.,2017.01.01,경영참여,"17,000,000",0,100,"17,000,000",-,-,-,0,100,"17,000,000","380,000,000","9,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"HUAJIN NEW ENERGY MATERIALS(QUZHOU)CO.,LTD",2018.08.01,단순투자,"26,129,000,000",0,49,"89,523,000,000",-,-,-,0,49,"89,523,000,000","261,301,000,000","4,188,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,(주)티엘케미칼,2021.10.08,일반투자,"48,544,000,000","1,480,000",40,"48,544,000,000","-1,480,000","-48,544,000,000",-,-,-,-,"127,127,000,000","2,317,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,한국전구체 주식회사,2022.08.08,일반투자,"20,384,000,000","10,192,000",49,"50,960,000,000",-,-,-,"10,192,000",49,"50,960,000,000","252,990,000,000","-25,075,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"LG Chemical (Guangzhou) Engineering Plastics Co.,Ltd.",2002.08.21,경영참여,"2,752,000,000",0,100,"21,911,000,000",-,-,-,0,100,"21,911,000,000","151,503,000,000","26,272,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,(주) 씨텍,2005.03.31,일반투자,"36,643,000,000","3,325,680",50,"58,416,000,000",-,-,-,"3,325,680",50,"58,416,000,000","351,344,000,000","15,994,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,PT.Halim Samudra Interutama,1990.03.14,단순투자,"70,000,000",750,12,"576,000,000",-,-,-,750,12,"576,000,000",0,0,2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,EIC Properties Pte. Ltd.,2000.12.27,단순투자,"2,298,000,000","3,143,640",9,"647,000,000",-,-,-,"3,143,640",9,"647,000,000",0,0,2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,인텔렉추얼 디스커버리(주),2011.04.27,단순투자,"1,802,000,000","72,075",3,"389,000,000",-,-,-,"72,075",3,"389,000,000","71,900,000,000","2,188,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,충북창조경제혁신펀드,2015.10.27,단순투자,"1,200,000,000",0,19,"4,337,000,000",-,"-1,149,000,000","-2,184,000,000",0,19,"1,004,000,000","14,052,000,000","5,029,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,창조경제 바이오 펀드,2015.05.27,단순투자,"400,000,000",0,20,"2,627,000,000",-,"-1,214,000,000","-1,413,000,000",-,-,-,"6,006,000,000","-541,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,켐코 주식회사,2017.11.07,단순투자,"1,000,000,000","696,150",4,"7,167,000,000",-,-,"3,000,000","696,150",4,"7,170,000,000","531,223,000,000","-12,717,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,아주 좋은 Life Science 3.0 벤처 펀드,2018.06.28,단순투자,"6,000,000,000",0,24,"53,501,000,000",-,"-23,850,000,000","1,251,000,000",0,24,"30,902,000,000","183,824,000,000","25,264,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Enevate,2018.07.27,단순투자,"6,765,000,000","10,000,000",3,"8,617,000,000",-,-,"-5,089,000,000","10,000,000",3,"3,527,000,000","71,365,000,000","-28,683,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Kryptos Biotechnoligies Inc.,2019.10.11,단순투자,"1,819,000,000","839,850",11,"2,413,000,000",-,-,"-55,000,000","839,850",11,"2,359,000,000","258,000,000","-1,488,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"LG Chem (Taiwan), Ltd.",2004.06.04,경영참여,"2,291,000,000","1,033,596",100,"1,000,000",-,-,-,"1,033,596",100,"1,000,000","23,813,000,000","366,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,그로스엑셀러레이션펀드,2019.12.06,단순투자,"1,750,000,000",0,0,"6,099,000,000",-,"100,000,000","-646,000,000",0,0,"5,552,000,000","275,209,000,000","-9,848,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,(주)대영,2021.11.13,단순투자,"106,000,000","1,063",4,"106,000,000",-,-,-,"1,063",4,"106,000,000","6,369,000,000","-566,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"Jiujiang Defu Technology Co.,Ltd",2021.05.17,단순투자,"40,130,000,000","19,821,749",3,"50,110,000,000","-19,821,749","-89,037,000,000","38,927,000,000",-,-,-,"3,046,766,000,000","-48,478,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,이너보틀,2021.05.26,단순투자,"2,100,000,000","58,410",9,"1,031,000,000",-,-,-,"58,410",9,"1,031,000,000","6,203,000,000","-1,639,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Mura Technology,2021.10.21,단순투자,"8,140,000,000",0,2,"9,218,000,000",-,-,"11,742,000,000",0,2,"20,960,000,000","178,851,000,000","-56,013,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,KBE 펀드,2021.11.12,단순투자,"54,014,000,000",0,14,"56,017,000,000",-,"-6,780,000,000","-4,385,000,000",0,14,"44,852,000,000","179,436,000,000","-5,898,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Li-Cycle,2022.05.11,단순투자,"25,850,000,000","331,272",1,"872,000,000",-,-,"-872,000,000","331,272",1,0,"1,205,680,000,000","-192,780,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Tianqi Lithium,2022.07.13,단순투자,"196,927,000,000","14,360,200",1,"65,377,000,000",-,-,"69,812,000,000","14,360,200",1,"135,189,000,000","14,062,917,000,000","-5,783,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Reventas Limited,2022.09.20,단순투자,"1,394,000,000","1,000,000",5,"1,529,000,000",-,-,"157,000,000","1,000,000",5,"1,686,000,000","833,000,000","-1,482,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,BNZ 펀드,2022.08.10,단순투자,"30,161,000,000",0,3,"67,950,000,000",-,"21,067,000,000","2,967,000,000",0,3,"91,984,000,000","926,780,000,000","-55,733,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"Tianjin LG Bohai Chemical Co.,Ltd.",2005.04.01,경영참여,"6,869,000,000",0,68,"77,871,000,000",-,"-77,870,000,000",-,0,68,"1,000,000","264,564,000,000","-324,474,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,고려아연,2022.11.24,단순투자,"257,638,000,000","391,547",2,"393,896,000,000",-,-,"121,380,000,000","391,547",2,"515,276,000,000","12,248,408,000,000","429,249,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Elevra Lithium Limited,2023.02.16,단순투자,"96,825,000,000","385,246",0,"14,088,000,000",-,-,"14,972,000,000","385,246",0,"29,060,000,000","936,579,000,000","-418,545,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Impact Recycling ,2023.03.15,단순투자,"2,357,000,000",0,4,"2,766,000,000",-,-,"133,000,000",0,4,"2,898,000,000","23,105,000,000","-3,443,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Bioworks,2023.08.28,단순투자,-,0,9,"17,980,000,000",-,-,"-362,000,000",0,9,"17,618,000,000","3,782,000,000","-2,624,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,세원정공,2024.03.28,단순투자,"3,394,000,000","33,935",4,"339,000,000",-,-,-,"33,935",4,"339,000,000","424,530,000,000","21,699,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,Rhythm pharmaceuticals,2024.01.04,단순투자,"26,782,000,000","55,641",0,"4,579,000,000","-55,641","-4,833,000,000","254,000,000",-,-,-,"689,033,000,000","-279,522,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,재영텍,2023.01.19,단순투자,"24,025,000,000",0,0,"19,442,000,000",-,"-6,091,000,000","772,000,000",0,0,"14,123,000,000","133,780,000,000","-23,414,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"Tianjin LG BOTIAN Chemical Co.,Ltd.",2009.06.30,경영참여,"3,092,000,000",0,58,"10,423,000,000",-,-,-,0,58,"10,423,000,000","43,050,000,000","4,541,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,"LG Chem (China) Investment Co.,Ltd.",2004.12.08,경영참여,"6,253,000,000",0,100,"23,753,000,000",-,-,-,0,100,"23,753,000,000","1,181,358,000,000","3,483,000,000",2025-12-31
051910,LG화학,2025,20260313001195,Y,00356361,LG화학,합계,-,-,-,-,-,"11,090,246,000,000",-,"-49,489,000,000","152,819,000,000",-,-,"11,193,576,000,000",-,-,2025-12-31
373220,LG에너지솔루션,2025,20260312000217,Y,01515323,LG에너지솔루션,"LG Energy Solution (Nanjing) Co., Ltd.",2003.08.26,경영참여,"6,069,000,000",-,100,"1,138,401,000,000",-,-,-,-,100,"1,138,401,000,000","5,281,891,000,000","690,705,000,000",2025-12-31
