node,type,degree
Wuhan Power Battery Recycling Technology,Company,1
Yemen LNG,Company,1
ZHEJIANG HUAYOU-POSCO ESM,Company,1
ZHEJIANG POSCO-HUAYOU ESM,Company,1
Zhangjiagang Pohang Refractories,Company,1
iMarketAsia Co,Company,1
각국의 지원 정책,Policy,1
각국의 환경규제 정책,Policy,1
고려아연,Company,1
곤충병원성 곰팡이 제제,Industry,1
국립수산과학원 과제,Industry,1
규제,Policy,1
"규제개선(승인기간 단축, 허가조건 완화)",Policy,1
그린에너지,Industry,1
기유,Industry,1
기유 및 윤활유 사업,Industry,1
기초소재,Industry,1
기초유화,Industry,1
나래에너지서비스,Company,1
남양주열병합,Company,1
내화물,Industry,1
넥스콘,Company,1
넥스포,Company,1
농약,Industry,1
농약/비료,Industry,1
농업,Industry,1
당진행복솔라,Company,1
대기환경보전법,Policy,1
대영,Company,1
대한송유관공사,Company,1
데카머티리얼,Company,1
도시가스,Industry,1
도시가스사업법,Policy,1
도시가스요금 원료비 연동제 시행지침,Policy,1
독일 메르세데스-벤츠 그룹,Company,1
독점규제및 공정거래에 관한 법률,Policy,1
듀오콤,Company,1
디비월드,Company,1
디스플레이,Industry,1
디스플레이 소재,Industry,1
라임화성,Industry,1
로지피아,Company,1
리튬,Industry,1
리튬 전환,Industry,1
무석광미래 신재료유한공사,Company,1
물환경관리 법률,Policy,1
민테크,Company,1
바이오·제약,Industry,1
바이오신약,Industry,1
반도체 소재,Industry,1
반도체 전자재료 소재,Industry,1
보령블루하이,Company,1
보조금 정책,Policy,1
"보조서비스(주파수 조정, 에너지시프트) 시장 운영",Policy,1
부사호행복나눔솔라,Company,1
비공개,Company,1
비료,Industry,1
산업용 가스,Industry,1
산업통상자원부의 가격정책,Policy,1
삼성E&A,Company,1
삼성글로벌리서치,Company,1
삼성디스플레이,Company,1
삼성벤처투자,Company,1
삼성중공업,Company,1
삼아알미늄,Company,1
상신EDP,Company,1
상호출자제한기업집단,Industry,1
새로닉스,Company,1
생명과학,Industry,1
석유,Industry,1
석유 트레이딩,Industry,1
석유개발,Industry,1
성일하이텍,Company,1
세원정공,Company,1
소재,Industry,1
소형전지,Industry,1
솔브레인,Company,1
수소,Industry,1
수소 인센티브 및 규제,Policy,1
수소경제 육성 및 수소안전관리법,Policy,1
수질 및 대기환경 관련,Industry,1
스마트팩토리,Industry,1
시알이노테크,Company,1
신소재,Industry,1
신안그린에너지,Company,1
신안증도태양광,Company,1
신에너지 및 재생에너지 개발·이용·보급 촉진법,Policy,1
신재생에너지 의무공급제도,Policy,1
쏠리스,Company,1
씨앤피신소재테크놀로지,Company,1
씨텍,Company,1
씨피프티원,Company,1
아름누리,Company,1
아리울 행복솔라,Company,1
아이마켓코리아,Company,1
아이지이,Company,1
아이파킹,Company,1
약 100여개 이상의 사업자,Company,1
"에너지 저장장치(Energy Storage System, ESS) 보조금 지원",Policy,1
에너지/화학,Industry,1
에너지/화학 사업,Industry,1
에너지소재,Industry,1
에너지저장장치(ESS),Industry,1
에너지절감 정책,Policy,1
에스디플렉스,Company,1
에스원,Company,1
에스케이어스온,Company,1
에스케이엔무브,Company,1
에스케이엔텀,Company,1
